i need to book a table at a food court in nh that serves smelt	O O O O O O O O B-restaurant_type I-restaurant_type O B-state O O B-served_dish
book a reservation for ten at a restaurant in ohio	O O O O B-party_size_number O O B-restaurant_type O B-state
i want to book a tea house that serves salade far from here at midnight in panama for two people	O O O O O B-restaurant_type I-restaurant_type O O B-served_dish B-spatial_relation O O O B-timeRange O B-country O B-party_size_number O
i want to book a food truck for seven people in the republic of the congo	O O O O O B-restaurant_type I-restaurant_type O B-party_size_number O O O B-country I-country I-country I-country
i want to book a restaurant for ten people	O O O O O B-restaurant_type O B-party_size_number O
lets eat near oakfield 17 seconds from now at ted peters famous smoked fish	O O B-spatial_relation B-city B-timeRange I-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
book sot for 7 at a restaurant that serves european in stringtown on feb the 28th 2034	O O O B-party_size_number O O B-restaurant_type O O B-cuisine O B-city O B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant for six at an outdoor cafe in åland	O O B-restaurant_type O B-party_size_number O O B-facility O O B-country
book a table for 12 am at our step mother s secondary residence within walking distance for one	O O O O B-timeRange I-timeRange O B-poi I-poi I-poi I-poi I-poi I-poi B-spatial_relation I-spatial_relation I-spatial_relation O B-party_size_number
please book me a table at a pizzeria with a parking facility in ghana	O O O O O O O B-restaurant_type O O B-facility O O B-country
book spot for four at a indoor pub within the same area of louisiana in one minute	O O O B-party_size_number O O B-facility B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state B-timeRange I-timeRange I-timeRange
please book me a restaurant	O O O O B-restaurant_type
book a reservation for me and my step brother at amt coffee in lakemoor	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name O B-city
i want to book a churrascaria in romeoville at ten a m for four people	O O O O O B-restaurant_type O B-city O B-timeRange I-timeRange I-timeRange O B-party_size_number O
table for 5 a m at baker s keyboard lounge	O O B-timeRange I-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
please book me a table at a bistro which serves lorna doone	O O O O O O O B-restaurant_type O O B-served_dish I-served_dish
i want to book a restaurant for six people in wagstaff ak	O O O O O B-restaurant_type O B-party_size_number O O B-city B-state
i would like to book a highly rated restaurant for a party of ten	O O O O O O B-sort I-sort B-restaurant_type O O O O B-party_size_number
i want to book a sundanese gastropub nearby in texas for 3 people on 5/20/2025	O O O O O B-cuisine B-restaurant_type B-spatial_relation O B-state O B-party_size_number O O B-timeRange
book a party of five at seagoville for 06:42	O O O O B-party_size_number O B-city O B-timeRange
book spot for 9 at thurmont	O O O B-party_size_number O B-city
i want to book a restaurant in sixteen seconds for 5 people in gold point montana	O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange O B-party_size_number O O B-city I-city B-state
book a party at their campus within the same area for churrascaria	O O O O B-poi I-poi B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_type
book me a reservation for a party of 3 at a pub in northern mariana islands	O O O O O O O O B-party_size_number O O B-restaurant_type O B-country I-country I-country
i want to book a bougatsa restaurant in next year nearby penn for three people	O O O O O B-cuisine B-restaurant_type O B-timeRange I-timeRange B-spatial_relation B-city O B-party_size_number O
book a reservation for nine people at the best pub nearby tangier in six months	O O O O B-party_size_number O O O B-sort B-restaurant_type B-spatial_relation B-city B-timeRange I-timeRange I-timeRange
i want to bring four people to a place that s close to downtown that serves churrascaria cuisine	O O O O B-party_size_number O O O O O O B-spatial_relation O B-poi O O B-restaurant_type O
can you get me reservations for a highly rated restaurant in seychelles	O O O O O O O B-sort I-sort B-restaurant_type O B-country
on june 27 2026 i d like to go to a delaware gastropub	O B-timeRange I-timeRange I-timeRange O O O O O O O B-state B-restaurant_type
make a reservation at a bakery that has acquacotta in central african republic for five	O O O O O B-restaurant_type O O B-served_dish O B-country I-country I-country O B-party_size_number
restaurant in bulgaria this week party for 9 numbers	B-restaurant_type O B-country B-timeRange I-timeRange O O B-party_size_number O
book a spot for ten at a top-rated caucasian restaurant not far from selmer	O O O O B-party_size_number O O B-sort B-cuisine B-restaurant_type B-spatial_relation I-spatial_relation O B-city
book a table for 2 at a restaurant in follett	O O O O B-party_size_number O O B-restaurant_type O B-city
book a brasserie in samoa for four people	O O B-restaurant_type O B-country O B-party_size_number O
find a reservation at a restaurant that serves gougère in laneville with a party of nine	O O O O O B-restaurant_type O O B-served_dish O B-city O O O O B-party_size_number
book a bakery for lebanese on january 11th 2032	O O B-restaurant_type O B-cuisine O B-timeRange I-timeRange I-timeRange
book a table for 8 at a restaurant that serves far breton	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish I-served_dish
book a table today at a steakhouse for eight that serves sashimi	O O O B-timeRange O O B-restaurant_type O B-party_size_number O O B-served_dish
coon chicken inn restaurant for 1 am for me clarice and debbie	B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O B-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
find a reservation at fish express	O O O O B-restaurant_name I-restaurant_name
book a bar that serves italian-american cuisine neighboring wilson av for one person	O O B-restaurant_type O O B-served_dish I-served_dish B-spatial_relation B-poi I-poi O B-party_size_number O
book a restaurant for 3 people at eighteen oclock in saint vincent and the grenadines	O O B-restaurant_type O B-party_size_number O O B-timeRange O O B-country I-country I-country I-country I-country
i would like to eat fast food and have a party of two in kentucky	O O O O O B-restaurant_type I-restaurant_type O O O O O B-party_size_number O B-state
book a table around london borough of ealing that is highly rated in a gluten free bar	O O O B-spatial_relation B-poi I-poi I-poi I-poi O O B-sort I-sort O O B-cuisine I-cuisine B-restaurant_type
book me a reservation at a bar around juliff for three people that serves bucatini for now	O O O O O O B-restaurant_type B-spatial_relation B-city O B-party_size_number O O O B-served_dish O B-timeRange
book a highly rated place in in in seven years at a pub	O O B-sort I-sort O O B-state B-timeRange I-timeRange I-timeRange O O B-restaurant_type
book a table for ten for breakfast in minnesota	O O O O B-party_size_number O B-timeRange O B-state
book a restaurant for three on feb 18	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange
please make me reservations somewhere for eight people in foley nv	O O O O O O B-party_size_number O O B-city B-state
i d like to eat at a restaurant around china with a party of 7 anywhere that serves ouzeri	O O O O O O O B-restaurant_type B-spatial_relation B-country O O O O B-party_size_number O O O B-cuisine
i d like a table for midday at the unseen bean	O O O O O O B-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name
i want a table for me and my kids in turkey at a neighboring restaurant	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country O O B-spatial_relation B-restaurant_type
i d like to reserve a table at a pub that serves andouillettes within the same area in san marino	O O O O O O O O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country I-country
book the space aliens grill & bar in hord wy for feb the twenty-seventh	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-city B-state O B-timeRange I-timeRange I-timeRange
book a table this evening in saint vincent and the grenadines at a gastropub	O O O O B-timeRange O B-country I-country I-country I-country I-country O O B-restaurant_type
food truck in panama for five	B-restaurant_type I-restaurant_type O B-country O B-party_size_number
book a table for chasity ruiz and mary at the fat duck in puerto rico	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country
i need a table for 1 minute from now at any pub for five around in that also serves fisn n chips	O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-party_size_number B-spatial_relation B-state O O O B-served_dish I-served_dish I-served_dish
book a spot at the food truck in ma	O O O O O B-restaurant_type I-restaurant_type O B-state
21 weeks from now elinor crystal turner and nita want to eat german food at a bar in distant california	B-timeRange I-timeRange I-timeRange I-timeRange B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O O B-restaurant_type O B-spatial_relation B-state
book a spot for 7 at an outdoor food court in denmark	O O O O B-party_size_number O O B-facility B-restaurant_type I-restaurant_type O B-country
i need a reservation for february 27 2020 at a bar that serves paté	O O O O O B-timeRange I-timeRange I-timeRange O O B-restaurant_type O O B-served_dish
